"タイムスタンプ","あなたはコーヒーを購入する際、カフェ・その他専門店を利用したことがありますか？","カフェ・その他専門店で購入する理由は何ですか？（当てはまるもの全てをお選びください）","あなたが利用する店やそこで購入するコーヒーを、家族や友人にどれくらい勧めたいと思いますか？","あなたはコーヒーを購入する際、コンビニを利用することがありますか？","コンビニで購入する理由は何ですか？（当てはまるもの全てをお選びください）","あなたが利用する店やそこで購入するコーヒーを、家族や友人にどれくらい勧めたいと思いますか？","あなたはコーヒーを購入する際、スーパーを利用することがありますか？","スーパーで購入する理由は何ですか？（当てはまるもの全てをお選びください）","あなたが利用する店やそこで購入するコーヒーを、家族や友人にどれくらい勧めたいと思いますか？","あなたはパンを購入する際、パン屋・その他専門店を利用することがありますか？","パン屋・その他専門店で購入する理由は何ですか？（当てはまるもの全てをお選びください）","あなたが利用する店やそこで購入するパンを、家族や友人にどれくらい勧めたいと思いますか？","あなたはパンを購入する際、コンビニを利用することがありますか？","コンビニで購入する理由は何ですか？（当てはまるもの全てをお選びください）","あなたが利用する店やそこで購入するパンを、家族や友人にどれくらい勧めたいと思いますか？","あなたはパンを購入する際、スーパーを利用することがありますか？","スーパーで購入する理由は何ですか？（当てはまるもの全てをお選びください）","あなたが利用する店やそこで購入するパンを、家族や友人にどれくらい勧めたいと思いますか？","あなたはケーキを購入する際、ケーキ屋・その他専門店を利用することがありますか？","ケーキ屋・その他専門店で購入する理由は何ですか？（当てはまるもの全てをお選びください）","あなたが利用する店やそこで購入するケーキを、家族や友人にどれくらい勧めたいと思いますか？","あなたはケーキを購入する際、コンビニを利用することがありますか？","コンビニで購入する理由は何ですか？（当てはまるもの全てをお選びください）","あなたが利用する店やそこで購入するケーキを、家族や友人にどれくらい勧めたいと思いますか？","あなたはケーキを購入する際、スーパーを利用することがありますか？","スーパーで購入する理由は何ですか？（当てはまるもの全てをお選びください）","あなたが利用する店やそこで購入するケーキを、家族や友人にどれくらい勧めたいと思いますか？"
"2020/10/13 10:03:52 午前 GMT+9","利用しない","","","よく利用する","店舗が近い・アクセスが良い","7","たまに利用する","価格が安い","4","利用しない","","","よく利用する","美味しい;価格が安い","6","たまに利用する","価格が安い","4","利用しない","","","たまに利用する","店舗が近い・アクセスが良い","5","利用しない","",""
"2020/10/13 10:08:12 午前 GMT+9","たまに利用する","店舗が近い・アクセスが良い;店の雰囲気が良い","3","たまに利用する","気軽に購入できる・素早く購入できる","4","利用しない","","","利用しない","","","よく利用する","価格が安い","2","たまに利用する","気軽に購入できる・素早く購入できる","3","利用しない","","","利用しない","","","利用しない","",""
"2020/10/13 10:09:46 午前 GMT+9","たまに利用する","美味しい","6","よく利用する","美味しい;店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる","7","たまに利用する","価格が安い","6","たまに利用する","美味しい;できたてを購入できる;商品が本格的;種類が豊富・品揃えが良い","7","たまに利用する","店舗が近い・アクセスが良い;気軽に購入できる・素早く購入できる","7","たまに利用する","店舗が近い・アクセスが良い;種類が豊富・品揃えが良い;ほかの食品・日用品等と合わせて購入できる","6","たまに利用する","美味しい;商品が本格的;種類が豊富・品揃えが良い","8","たまに利用する","店舗が近い・アクセスが良い;気軽に購入できる・素早く購入できる","5","利用しない","",""
"2020/10/13 10:11:13 午前 GMT+9","たまに利用する","美味しい;商品が本格的;店や商品の個性がある;店の雰囲気が良い;店内で飲めるのが良い","5","たまに利用する","店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","4","たまに利用する","店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","4","利用しない","","","たまに利用する","美味しい;店舗が近い・アクセスが良い;種類が豊富・品揃えが良い;気軽に購入できる・素早く購入できる","6","たまに利用する","店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","4","たまに利用する","美味しい;商品が本格的;種類が豊富・品揃えが良い","7","利用しない","","","たまに利用する","店舗が近い・アクセスが良い;気軽に購入できる・素早く購入できる;ほかの食品・日用品等と合わせて購入できる","5"
"2020/10/13 10:22:41 午前 GMT+9","たまに利用する","美味しい;店舗が近い・アクセスが良い;価格が安い;店の雰囲気が良い;店内で飲めるのが良い","5","たまに利用する","美味しい;店舗が近い・アクセスが良い;価格が安い;商品が本格的","7","利用しない","","","たまに利用する","美味しい;商品が本格的","6","よく利用する","美味しい;店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる","9","たまに利用する","店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる","3","たまに利用する","美味しい;商品が本格的","8","利用しない","","","利用しない","",""
"2020/10/13 10:25:53 午前 GMT+9","利用しない","","","利用しない","","","利用しない","","","よく利用する","美味しい;店舗が近い・アクセスが良い;種類が豊富・品揃えが良い","9","たまに利用する","店舗が近い・アクセスが良い","3","利用しない","","","よく利用する","美味しい;商品が本格的;種類が豊富・品揃えが良い;店や商品の個性がある","9","たまに利用する","店舗が近い・アクセスが良い","4","利用しない","",""
"2020/10/13 10:28:32 午前 GMT+9","たまに利用する","美味しい;店の雰囲気が良い","6","たまに利用する","価格が安い;気軽に購入できる・素早く購入できる","4","利用しない","","","たまに利用する","美味しい;商品が本格的","9","よく利用する","価格が安い;気軽に購入できる・素早く購入できる","4","たまに利用する","店舗が近い・アクセスが良い;価格が安い","4","たまに利用する","美味しい;商品が本格的","8","たまに利用する","店舗が近い・アクセスが良い","4","利用しない","",""
"2020/10/13 10:36:17 午前 GMT+9","よく利用する","価格が安い;コーヒーと言うよりはそこで作業することが目的で、作業しやすい環境がカフェに備わっているから、カフェでコーヒーを買っています。","5","利用しない","","","利用しない","","","たまに利用する","美味しい;商品が本格的;種類が豊富・品揃えが良い;店や商品の個性がある","8","たまに利用する","店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる","5","たまに利用する","価格が安い","5","利用しない","","","利用しない","","","利用しない","",""
"2020/10/13 10:53:40 午前 GMT+9","利用しない","","","たまに利用する","店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる","5","たまに利用する","店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる","5","利用しない","","","よく利用する","美味しい;店舗が近い・アクセスが良い;気軽に購入できる・素早く購入できる","8","よく利用する","美味しい;店舗が近い・アクセスが良い;価格が安い;気軽に購入できる・素早く購入できる","8","たまに利用する","美味しい;商品が本格的;種類が豊富・品揃えが良い","8","利用しない","","","利用しない","",""
"2020/10/13 10:56:36 午前 GMT+9","たまに利用する","価格が安い;店内で飲めるのが良い","7","利用しない","","","利用しない","","","たまに利用する","美味しい;店舗が近い・アクセスが良い","8","利用しない","","","よく利用する","価格が安い","6","利用しない","","","利用しない","","","利用しない","",""
"2020/10/13 11:12:24 午前 GMT+9","利用しない","","","利用しない","","","利用しない","","","利用しない","","","たまに利用する","店舗が近い・アクセスが良い;価格が安い","5","利用しない","","","利用しない","","","よく利用する","店舗が近い・アクセスが良い;価格が安い","5","利用しない","",""
